filename; result; heuristic; depth
j3010_6.sm; 77; 15; 1
j3010_6.sm; 77; 3; 0
j3010_6.sm; 78; 16; 0
j3010_6.sm; 79; 16; 4
j3010_6.sm; 79; 3; 3
j3010_6.sm; 80; 15; 0
j3010_6.sm; 80; 2; 4
j3010_6.sm; 81; 2; 0
j3010_6.sm; 82; 16; 3
j3010_6.sm; 82; 2; 3
j3010_6.sm; 85; 16; 1
j3010_6.sm; 85; 16; 2
j3010_6.sm; 85; 2; 1
j3010_6.sm; 85; 2; 2
j3010_7.sm; 4220; 0; 1
j3010_7.sm; 55; 11; 0
j3010_7.sm; 55; 11; 1
j3010_7.sm; 55; 11; 2
j3010_7.sm; 55; 11; 3
j3010_7.sm; 55; 11; 4
j3010_7.sm; 64; 10; 0
j3010_7.sm; 64; 10; 1
j3010_7.sm; 64; 12; 3
j3010_7.sm; 64; 12; 4
j3010_7.sm; 66; 9; 4
j3010_7.sm; 67; 10; 2
j3010_7.sm; 67; 10; 3
j3010_7.sm; 68; 10; 4
j3010_7.sm; 70; 15; 0
j3010_7.sm; 71; 21; 4
j3010_7.sm; 72; 21; 2
j3010_7.sm; 72; 21; 3
j3010_7.sm; 73; 16; 3
j3010_7.sm; 74; 12; 2
j3010_7.sm; 74; 16; 2
j3010_7.sm; 75; 16; 0
j3010_7.sm; 75; 16; 1
j3010_7.sm; 76; 12; 0
j3010_7.sm; 76; 12; 1
j3010_7.sm; 76; 21; 0
j3010_7.sm; 76; 21; 1
j3010_7.sm; 76; 9; 0
j3010_7.sm; 76; 9; 1
j3010_7.sm; 76; 9; 2
j3010_7.sm; 76; 9; 3
j3010_7.sm; 77; 3; 2
j3010_7.sm; 79; 16; 4
j3010_7.sm; 79; 2; 4
j3010_7.sm; 79; 3; 1
j3010_7.sm; 80; 15; 1
j3010_7.sm; 80; 2; 2
j3010_7.sm; 80; 3; 0
j3010_7.sm; 81; 2; 0
j3010_7.sm; 81; 2; 1
j3010_7.sm; 81; 2; 3
j3010_7.sm; 83; 3; 3
j3010_7.sm; 83; 3; 4
j3010_7.sm; 86; 15; 3
j3010_7.sm; 87; 15; 2
j3010_7.sm; 91; 15; 4
j3010_7.sm; 952; 0; 0
j3010_8.sm; 1030; 0; 0
